Player,Year,Masters_Top_25,Driving_Rank,Top_10's,Percent_BreakPar_Ranklog,Avg_Score_Ranklog,Money_Ranklog,Average_Drive_Distance,Percent_Fairway_Hit,Percent_Greens_Hit,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut
Fuzzy Zoeller,1980,1.0,-1.5579361094940316,1.6458440497542124,-0.18692873895816967,-0.006272636095718393,-0.14706602159312226,-0.38079783537965967,-0.2844562978875077,-1.0835905077315306,-0.32248180459286757,-1.2766656637455327,0.04045976079658871,0.45646656517427964
J.C. Snead,1980,1.0,-1.5193136618627696,-0.4407545127764567,0.9545526647609276,-0.26259452210930023,0.1743959436925057,-0.4110809316450204,-0.8861843528491099,-0.9628889300565445,-2.193173711330638,-1.3136076651264768,-1.7099333461018567,0.11046040994484162
Jack Nicklaus,1980,0.0,-1.4806912142315078,-0.4407545127764567,-0.36190731670765863,-1.2152391797055282,-0.2418443782481193,-0.47164712417574184,0.8159330419163292,1.0208152595584417,0.13524068322594837,0.3521407607778854,-2.122021409385123,0.3699650263669263
Andy Bean,1980,1.0,-1.4420687666002459,0.9503111955773227,-3.1075191567476605,-1.555566050608644,-1.6727799860389856,-0.49587360118802903,0.2566442452391726,-0.1520892017615308,0.6924680597010291,0.3353489419683654,0.3308837292057476,-0.2614962069267926
John Fought,1980,0.0,-1.4034463189689839,-0.4407545127764567,0.04223096218173358,0.7803024620874409,0.6891392533941559,-0.5806662707310377,-0.678535124814502,-1.1859244540211928,-0.5442355564553999,-1.0315051091265444,-0.48675131699120916,1.5377358002662582
Tom Weiskopf,1980,0.0,-1.32620142370646,0.254778341400433,0.26947759947520306,0.5183993630007757,0.483968143641968,-0.6775721787801934,-0.1404659572795682,-1.2384034008364049,-0.45610265507413705,-1.6662358601263916,-0.08512898229926397,1.001426259660633
Tom Purtzer,1980,0.0,-1.2489565284439363,0.9503111955773227,-1.939282989631864,-1.126804900421005,-0.5140800992473846,-0.7381383713109148,0.08082446091789887,-0.02876367674578452,-0.848436216061694,-0.8803787398408661,1.712359903260126,0.3094139492017691
Craig Stadler,1980,0.0,-1.2296453046283053,0.9503111955773227,-0.06458324043223587,-0.35771687933025115,-2.468064719323504,-0.7441949905639883,-1.1574924683103864,-1.1360694545467427,-0.7006003814866723,-0.8400783746980189,-0.5835593064609291,0.4737668729357479
Andy North,1980,1.0,-1.1910228569970436,-0.4407545127764567,-0.7199581953023908,-0.5880652646549034,0.15348073172570484,-0.7865913253354926,-0.9847040595808593,-1.0284876135755587,-0.22013391911785293,-1.1356143857455667,0.15034991100545922,0.30076379532102887
Bruce Lietzke,1980,0.0,-1.1717116331814126,0.9503111955773227,-0.465224816120221,-2.137358679167829,-0.5610071652446775,-0.7926479445885627,0.4824817268242569,0.4697863179987244,0.8260889101822981,-0.8803787398408661,-0.9943391536702803,0.30076379532102887
Tom Watson,1980,1.0,-1.1137779617345198,2.341376903931102,-2.1817138983152846,-3.0594781786301293,-3.0696743956442742,-0.8047611830947098,-0.2980974880503657,-0.12322578101316473,0.03289279775093376,-0.5814843650314139,0.7560539532281652,-1.0227097484315415
Keith Fergus,1980,0.0,-1.017221842656365,1.6458440497542124,-1.4676923798085404,-2.477685550070944,-0.9884468593020516,-0.8895538526377184,0.47641897564076585,0.6403428951481589,0.845989887913551,-0.9240374687456178,-0.12306724844280265,-0.30474697633046927
Jerry Pate,1980,1.0,-0.9979106188407341,0.9503111955773227,-1.0134777311994887,-1.0468063639023801,-1.1626168415654474,-0.901667091143862,0.12932647038583556,-1.8051760264406862,-0.31679581095536685,0.03981293092081769,-0.6790590798567333,-0.09714328319281383
David Graham,1980,1.0,-0.9013544997625793,-0.4407545127764567,0.6938013766735631,0.2569956289303562,0.3429115782929315,-1.0106862376991612,0.18692260662901092,-2.3693247047042094,0.32572147008222585,-1.652802405078776,-1.4404408348753395,0.45646656517427964
Johnny Miller,1980,0.0,-0.8820432759469483,0.254778341400433,-1.0868025894696447,-1.42617977922767,-0.7192512089995723,-1.0167428569522348,0.9326410021985537,0.29398184616776607,0.8602048720073033,-0.7023854604599568,0.11633629308366607,-0.19229497588090744
Billy Kratzert,1980,1.0,-0.8627320521313173,0.9503111955773227,0.6655516612040501,-0.2931196802432277,-0.4272137326282646,-1.0288560954583783,-0.13137183050432955,0.14179290040365372,-1.1725378533992403,-1.414358577983595,-1.3998861365839705,0.3959154880091348
Dave Eichelberger,1980,0.0,-0.8241096045000554,0.254778341400433,-0.6717905563250114,-0.26259452210930023,-1.0711703097182153,-1.0712524302298827,-1.0513943225992732,0.036835006773229616,1.2013644902573524,-1.1927065696979338,-1.4495983473927454,0.9927761057799049
Leonard Thompson,1980,0.0,-0.7854871568687936,0.9503111955773227,-0.6262278785021258,-0.9737734220494588,-0.6106171987464817,-1.0833656687360262,-0.1556228352382979,-0.3436373576370531,-1.4596805320930317,-0.16840562231722786,-0.4043337043345556,0.1364108715870501
Ben Crenshaw,1980,1.0,-0.7275534854219007,0.9503111955773227,-0.9460254002655569,-0.9065896281880138,-0.9129262659633205,-1.1257620035075324,-0.6906606271814861,-0.4249797252006312,0.4508133301072438,-0.2221394425076912,-0.6790590798567333,0.20561210263293522
Jeff Mitchell,1980,0.0,-0.6889310377906388,0.254778341400433,0.04223096218173358,-0.17716328481193344,-0.8434540545688897,-1.137875242013676,-0.9968295619478434,-0.8002041949293901,0.6810960724260272,-1.2363652986026856,-0.8556682498352761,0.8889742592110711
